month,ltir
2025-01,2.821
2025-02,2.83
2025-03,2.795
2025-04,2.658
2025-05,2.71
2025-06,2.842
2025-07,2.84
2025-08,2.815
2025-09,2.849
2025-10,2.933
2025-11,3.248
2025-12,3.366
2026-01,3.485
2026-02,3.612
2026-03,3.728
2026-04,3.737
2026-05,4.075
2026-06,4.181
2026-07,4.286
2026-08,4.286
